"reviewer$gpa","reviewer$academic_major","reviewer$age_range","reviewer$location","reviewer$gender","reviewer$signin_count","reviewer$user_id","review$avg_score","review$score1","review$score2","review$score3","review$score4","review$score5","reviewee$team_id","reviewee$team_size"
"NULL","NULL","NULL","NULL","NULL",21,37212,5.6,9,6,3,5,5,5250,3
"NULL","NULL","NULL","NULL","NULL",21,37212,4,7,5,5,1,2,5836,4
"NULL","NULL","NULL","NULL","NULL",21,37212,6,8,7,6,6,3,5693,7
"NULL","NULL","NULL","NULL","NULL",21,37212,5,4,7,4,4,6,5215,4
"NULL","NULL","NULL","NULL","NULL",21,37212,7.6,8,8,8,8,6,5906,9
"NULL","NULL","NULL","NULL","NULL",21,37212,4,4,5,6,4,1,5069,4
"NULL","NULL","NULL","NULL","NULL",21,37212,7.4,8,7,7,6,9,5470,17
"Does not apply","Science","26-30","Netherlands","Male",124,2230,6.8,7,7,8,7,5,5693,7
"Does not apply","Science","26-30","Netherlands","Male",124,2230,2.2,2,1,3,4,1,5836,4
"Do not want to disclose","Business","31-35","Spain","Male",80,2848,4.4,4,1,7,9,1,5069,4
"3-3.49","Other","21-25","Spain","Female",75,2826,5,5,5,5,5,5,5215,4
"3-3.49","Engineering","over 50","United States","Male",110,19502,3.6,5,5,2,3,3,5215,4
"3.5-4.00","Science","36-40","Greece","Male",125,27386,3.6,3,6,5,3,1,5250,3
"3-3.49","Engineering","over 50","United States","Male",110,19502,7,9,5,9,6,6,5693,7
"3-3.49","Science","21-25","Saudi Arabia","Female",46,12292,3.4,5,1,1,9,1,5069,4
"3.5-4.00","Business","36-40","Italy","Male",588,3417,4,5,6,5,2,2,5215,4
"3-3.49","Engineering","over 50","United States","Male",110,19502,6.6,9,5,5,9,5,5836,4
"Does not apply","Engineering","18-20","Nigeria","Male",75,22958,2.8,4,4,3,2,1,5215,4
"3-3.49","Science","21-25","Saudi Arabia","Female",46,12292,9,9,9,9,9,9,5693,7
"3.5-4.00","Engineering","41-45","United States","Male",35,23915,4,1,7,5,5,2,5906,9
"3-3.49","Science","21-25","Saudi Arabia","Female",46,12292,10,10,10,10,10,10,5906,9
"NULL","NULL","NULL","Greece","NULL",5,33702,5,5,7,7,5,1,5069,4
"NULL","NULL","NULL","United States","NULL",391,34624,5.4,5,6,7,5,4,5906,9
"3.5-4.00","Engineering","41-45","United States","Male",35,23915,6,8,6,5,6,5,5836,4
"Does not apply","Business","18-20","Canada","Male",28,26219,7.2,8,9,7,6,6,5250,3
"Does not apply","Engineering","31-35","Spain","Male",133,3339,7,8,8,7,8,4,5906,9
